Date,,,,Close,,,,,
8/10/2018,,,,152.21,,,,,
8/13/2018,,,,151.92,,,,,
8/14/2018,,,,153.01,,,,,
8/15/2018,,,,154.07,,,,,
8/16/2018,,,,157.17,,,,,
8/17/2018,,,,157.77,,,,,
8/20/2018,,,,157.89,,,,,
8/21/2018,,,,158.96,,,,,
8/22/2018,,,,155.75,,,,,
8/23/2018,,,,155.61,,,,,
8/24/2018,,,,156.61,,,,,
8/27/2018,,,,157.19,,,,,
8/28/2018,,,,156.43,,,,,
8/29/2018,,,,155.24,,,,,
8/30/2018,,,,154.64,,,,,
8/31/2018,,,,153.99,,,,,
9/4/2018,,,,152.27,,,,,
9/5/2018,,,,153.53,,,,,
9/6/2018,,,,154.65,,,,,
9/7/2018,,,,154.1,,,,,
9/10/2018,,,,154.85,,,,,
9/11/2018,,,,156.53,,,,,
9/12/2018,,,,158.75,,,,,
9/13/2018,,,,159.23,,,,,
9/14/2018,,,,158.55,,,,,
9/17/2018,,,,158.81,,,,,
9/18/2018,,,,158.75,,,,,
9/19/2018,,,,156.61,,,,,
9/20/2018,,,,157.32,,,,,
9/21/2018,,,,158.86,,,,,
9/24/2018,,,,159.19,,,,,
9/25/2018,,,,159.33,,,,,
9/26/2018,,,,159.9,,,,,
9/27/2018,,,,161.18,,,,,
9/28/2018,,,,160.55,,,,,
10/1/2018,,,,160.38,,,,,
10/2/2018,,,,160.55,,,,,
10/3/2018,,,,160.99,,,,,
10/4/2018,,,,158.61,,,,,
10/5/2018,,,,156.96,,,,,
10/8/2018,,,,156.73,,,,,
10/9/2018,,,,156.45,,,,,
10/10/2018,,,,150.28,,,,,
10/11/2018,,,,149.02,,,,,
10/12/2018,,,,152.11,,,,,
10/15/2018,,,,151.46,,,,,
10/16/2018,,,,155.01,,,,,
10/17/2018,,,,155.81,,,,,
10/18/2018,,,,152.94,,,,,
10/19/2018,,,,153.2,,,,,
10/22/2018,,,,153.14,,,,,
10/23/2018,,,,153.76,,,,,
10/24/2018,,,,146.26,,,,,
10/25/2018,,,,150.16,,,,,
10/26/2018,,,,146.55,,,,,
10/29/2018,,,,144.19,,,,,
10/30/2018,,,,147.78,,,,,
10/31/2018,,,,150.88,,,,,
11/1/2018,,,,151.09,,,,,
11/2/2018,,,,149.86,,,,,
11/5/2018,,,,149.39,,,,,
11/6/2018,,,,150.29,,,,,
11/7/2018,,,,153.2,,,,,
11/8/2018,,,,151.77,,,,,
11/9/2018,,,,149.57,,,,,
11/12/2018,,,,147.36,,,,,
11/13/2018,,,,146.97,,,,,
11/14/2018,,,,147.64,,,,,
11/15/2018,,,,148.56,,,,,
11/16/2018,,,,147.98,,,,,
11/19/2018,,,,144.14,,,,,
11/20/2018,,,,142.33,,,,,
11/21/2018,,,,143.75,,,,,
11/23/2018,,,,142.03,,,,,
11/26/2018,,,,144.77,,,,,
11/27/2018,,,,145.59,,,,,
11/28/2018,,,,148.68,,,,,
11/29/2018,,,,149.21,,,,,
11/30/2018,,,,149.86,,,,,
12/3/2018,,,,149.98,,,,,
12/4/2018,,,,145.26,,,,,
12/6/2018,,,,146.77,,,,,
12/7/2018,,,,143.7,,,,,
12/10/2018,,,,144.78,,,,,
12/11/2018,,,,144.99,,,,,
12/12/2018,,,,146.18,,,,,
12/13/2018,,,,145.92,,,,,
12/14/2018,,,,144.43,,,,,
12/17/2018,,,,141.68,,,,,
12/18/2018,,,,142.55,,,,,
12/19/2018,,,,140.11,,,,,
12/20/2018,,,,137.82,,,,,
12/21/2018,,,,133.59,,,,,
12/24/2018,,,,130.86,,,,,
12/26/2018,,,,137.92,,,,,
12/27/2018,,,,138.65,,,,,
12/28/2018,,,,138.39,,,,,
12/31/2018,,,,138.78,,,,,
1/2/2019,,,,140.52,,,,,
1/3/2019,,,,138.48,,,,,
1/4/2019,,,,144.11,,,,,
1/7/2019,,,,145.21,,,,,
1/8/2019,,,,147.51,,,,,
1/9/2019,,,,146.98,,,,,
1/10/2019,,,,147.27,,,,,
1/11/2019,,,,147.07,,,,,
1/14/2019,,,,146.47,,,,,
1/15/2019,,,,149.02,,,,,
1/16/2019,,,,148.42,,,,,
1/17/2019,,,,148.98,,,,,
1/18/2019,,,,149.76,,,,,
1/22/2019,,,,146.83,,,,,
1/23/2019,,,,147.19,,,,,
1/24/2019,,,,147.23,,,,,
1/25/2019,,,,148.72,,,,,
1/28/2019,,,,147.02,,,,,
1/29/2019,,,,145.46,,,,,
1/30/2019,,,,147.25,,,,,
1/31/2019,,,,152.75,,,,,
2/1/2019,,,,152.23,,,,,
2/4/2019,,,,153.68,,,,,
2/5/2019,,,,155.08,,,,,
2/6/2019,,,,152.77,,,,,
2/7/2019,,,,151.2,,,,,
2/8/2019,,,,151.73,,,,,
2/11/2019,,,,150.78,,,,,
2/12/2019,,,,152.5,,,,,
2/13/2019,,,,152.34,,,,,
2/14/2019,,,,152.67,,,,,
2/15/2019,,,,153.28,,,,,
2/19/2019,,,,153.75,,,,,
2/20/2019,,,,153.65,,,,,
2/21/2019,,,,152.68,,,,,
2/22/2019,,,,154.28,,,,,
2/25/2019,,,,154.41,,,,,
2/26/2019,,,,154.61,,,,,
2/27/2019,,,,154.01,,,,,
2/28/2019,,,,154,,,,,
3/1/2019,,,,155.2,,,,,
3/4/2019,,,,155.24,,,,,
3/5/2019,,,,156.37,,,,,
3/6/2019,,,,156.35,,,,,
3/7/2019,,,,155.08,,,,,
3/8/2019,,,,154.99,,,,,
3/11/2019,,,,157.88,,,,,
3/12/2019,,,,158.77,,,,,
3/13/2019,,,,159.17,,,,,
3/14/2019,,,,158.54,,,,,
3/15/2019,,,,158.56,,,,,
3/18/2019,,,,157.29,,,,,
3/19/2019,,,,157.25,,,,,
3/20/2019,,,,159.08,,,,,
3/21/2019,,,,160.5,,,,,
3/22/2019,,,,158.47,,,,,
3/25/2019,,,,158.17,,,,,
3/26/2019,,,,158.88,,,,,
3/27/2019,,,,158.02,,,,,
3/28/2019,,,,157.23,,,,,
3/29/2019,,,,157.68,,,,,
4/1/2019,,,,159.97,,,,,
4/2/2019,,,,160.61,,,,,
4/3/2019,,,,161.2,,,,,
4/4/2019,,,,162.27,,,,,
4/5/2019,,,,162.33,,,,,
4/8/2019,,,,162.08,,,,,
4/9/2019,,,,162.12,,,,,
4/10/2019,,,,162.61,,,,,
4/11/2019,,,,162.85,,,,,
4/12/2019,,,,164.85,,,,,
4/15/2019,,,,165.14,,,,,
4/16/2019,,,,165.49,,,,,
4/17/2019,,,,165.74,,,,,
4/18/2019,,,,165.97,,,,,
4/22/2019,,,,167.17,,,,,
4/23/2019,,,,168.6,,,,,
4/24/2019,,,,167.34,,,,,
4/25/2019,,,,169.15,,,,,
4/26/2019,,,,170.44,,,,,
4/29/2019,,,,171.89,,,,,
4/30/2019,,,,167.49,,,,,
5/1/2019,,,,166.37,,,,,
5/2/2019,,,,165.53,,,,,
5/3/2019,,,,167.45,,,,,
5/6/2019,,,,167.14,,,,,
5/7/2019,,,,164.87,,,,,
5/8/2019,,,,164.28,,,,,
5/9/2019,,,,163.98,,,,,
5/10/2019,,,,164.33,,,,,
5/13/2019,,,,160.19,,,,,
5/14/2019,,,,160.58,,,,,
5/15/2019,,,,163.97,,,,,
5/16/2019,,,,165.55,,,,,
5/17/2019,,,,164.76,,,,,
5/20/2019,,,,162.83,,,,,
5/21/2019,,,,164.39,,,,,
5/22/2019,,,,164.44,,,,,
5/23/2019,,,,162.37,,,,,
5/24/2019,,,,162.38,,,,,
5/28/2019,,,,162.65,,,,,
5/29/2019,,,,160.85,,,,,
5/30/2019,,,,160.81,,,,,
5/31/2019,,,,157.52,,,,,
6/3/2019,,,,153.13,,,,,
6/4/2019,,,,155.8,,,,,
6/5/2019,,,,155.99,,,,,
6/6/2019,,,,156.67,,,,,
6/7/2019,,,,158.98,,,,,
6/10/2019,,,,158.75,,,,,
6/11/2019,,,,159.21,,,,,
6/12/2019,,,,158.76,,,,,
6/13/2019,,,,160.57,,,,,
6/14/2019,,,,161.19,,,,,
6/17/2019,,,,162.9,,,,,
6/18/2019,,,,163.57,,,,,
6/19/2019,,,,163.87,,,,,
6/20/2019,,,,164.91,,,,,
6/21/2019,,,,165.57,,,,,
6/24/2019,,,,165.75,,,,,
6/25/2019,,,,163.1,,,,,
6/26/2019,,,,162.26,,,,,
6/27/2019,,,,162.96,,,,,
6/28/2019,,,,164.23,,,,,
7/1/2019,,,,165.46,,,,,
7/2/2019,,,,167.22,,,,,
7/3/2019,,,,168.41,,,,,
7/5/2019,,,,168.73,,,,,
7/8/2019,,,,167.22,,,,,
7/9/2019,,,,167.69,,,,,
7/10/2019,,,,169.81,,,,,
7/11/2019,,,,169.66,,,,,
7/12/2019,,,,170.73,,,,,
7/15/2019,,,,170.84,,,,,
7/16/2019,,,,170.73,,,,,
7/17/2019,,,,169.22,,,,,
7/18/2019,,,,167.72,,,,,
7/19/2019,,,,165.51,,,,,
7/22/2019,,,,165.77,,,,,
7/23/2019,,,,166.27,,,,,
7/24/2019,,,,167.74,,,,,
7/25/2019,,,,167.61,,,,,
7/26/2019,,,,173.05,,,,,
7/29/2019,,,,172.23,,,,,
7/30/2019,,,,171.08,,,,,
7/31/2019,,,,169.18,,,,,
8/1/2019,,,,168.35,,,,,
8/2/2019,,,,167.01,,,,,
8/5/2019,,,,162.14,,,,,
8/6/2019,,,,164.33,,,,,
8/7/2019,,,,163.64,,,,,
8/8/2019,,,,167.28,,,,,
8/9/2019,,,,165.94,,,,,
8/12/2019,,,,164.32,,,,,
8/13/2019,,,,166.78,,,,,
